profile,n_dates,mean_delta_ndcg,ci95_lower,ci95_upper,wilcoxon_statistic,wilcoxon_p,days_T1_better,days_equal,days_T1_worse,pct_days_T1_better
aggressive,62,0.008945309883662543,-0.004080546172332988,0.022843808348311914,383.0,0.2829387956323899,24,19,19,38.70967741935484
conservative,62,0.0019355519812337837,-0.009300842709884108,0.013713942845892205,583.0,0.9635296873171342,24,14,24,38.70967741935484
moderate,62,0.005810596519159575,-0.007283610777382689,0.018888950498675006,542.0,0.48959604016600267,25,13,24,40.32258064516129
