model_a,model_b,macro_f1_a,macro_f1_b,difference,ci95_lower,ci95_upper,a_correct_b_wrong,a_wrong_b_correct,discordant,mcnemar_exact_p,bootstrap_significant_95,mcnemar_significant_005
TF-IDF + LinearSVC,DistilBERT,0.44442140089701443,0.47539131845215793,-0.0309699175551435,-0.06024830667428543,-0.0030155197974421656,158,196,354,0.04908424974137211,True,True
TF-IDF + LinearSVC,FinBERT,0.44442140089701443,0.4429454085037756,0.001475992393238812,-0.028125323830329535,0.030493369283303727,181,172,353,0.6703160204179758,False,False
DistilBERT,FinBERT,0.47539131845215793,0.4429454085037756,0.03244590994838231,0.011784797720011694,0.052591094693853674,114,67,181,0.0005895324213043291,True,True
