date,profile,risk_aversion,treatment,ndcg_at_10,recall_at_10,map_at_10,btc_momentum_14,regime
2025-03-16,conservative,1.0,T0,0.7069532002740362,0.8,0.42103174603174603,-0.1238076196458675,bear
2025-03-16,conservative,1.0,T1,0.7069532002740362,0.8,0.42103174603174603,-0.1238076196458675,bear
2025-03-17,conservative,1.0,T0,0.45106296283979813,0.8,0.28055555555555556,-0.023121696858303897,bull
2025-03-17,conservative,1.0,T1,0.4419955231555476,0.8,0.28055555555555556,-0.023121696858303897,bull
2025-03-18,conservative,1.0,T0,0.22418613667667667,0.2,0.1,-0.051634739258329176,sideways
2025-03-18,conservative,1.0,T1,0.2276243494644932,0.2,0.1,-0.051634739258329176,sideways
2025-03-19,conservative,1.0,T0,0.43500944844496625,0.6,0.3,-0.04159333217009653,bull
2025-03-19,conservative,1.0,T1,0.4449136967487412,0.6,0.32,-0.04159333217009653,bull
2025-03-20,conservative,1.0,T0,0.3242343141765797,0.6,0.16666666666666666,-0.06441107203488705,sideways
2025-03-20,conservative,1.0,T1,0.23020946026342828,0.4,0.11666666666666665,-0.06441107203488705,sideways
2025-03-21,conservative,1.0,T0,0.5835544815103176,0.8,0.42000000000000004,-0.031119973931515443,bull
2025-03-21,conservative,1.0,T1,0.5835544815103176,0.8,0.42000000000000004,-0.031119973931515443,bull
2025-03-22,conservative,1.0,T0,0.7441273439803431,0.8,0.44222222222222224,-0.02695282136363153,bull
2025-03-22,conservative,1.0,T1,0.7428151134800843,0.8,0.44222222222222224,-0.02695282136363153,bull
2025-03-23,conservative,1.0,T0,0.7731873258752923,1.0,0.5079365079365079,0.0676583825832735,bull
2025-03-23,conservative,1.0,T1,0.74843744102143,1.0,0.48888888888888893,0.0676583825832735,bull
2025-03-24,conservative,1.0,T0,0.8317527323300894,1.0,0.5787301587301587,0.11418165922808532,bull
2025-03-24,conservative,1.0,T1,0.8380891771423882,1.0,0.5977777777777777,0.11418165922808532,bull
2025-03-25,conservative,1.0,T0,0.8184067570724726,1.0,0.5787301587301587,0.055628399669142015,bull
2025-03-25,conservative,1.0,T1,0.9192259571562339,1.0,0.7644444444444444,0.055628399669142015,bull
2025-03-26,conservative,1.0,T0,0.5905436076413425,1.0,0.40349206349206346,0.037965048539340795,bull
2025-03-26,conservative,1.0,T1,0.6376036195419541,1.0,0.512063492063492,0.037965048539340795,bull
2025-03-27,conservative,1.0,T0,0.7671452006898547,1.0,0.7416666666666666,0.0753749468271594,bull
2025-03-27,conservative,1.0,T1,0.8967688358687992,1.0,0.8766666666666666,0.0753749468271594,bull
