date,sentiment_mean,sentiment_median,sentiment_std,sentiment_min,sentiment_max,sentiment_strength_mean,sentiment_entropy_mean,prob_neutral_mean,prob_bearish_mean,prob_bullish_mean,news_count,bullish_share_proxy,bearish_share_proxy,neutral_share_proxy,sentiment_direction
2025-01-01,0.22529354,0.241535086,0.27723824088844345,-0.08336330000000002,0.501467288,0.26697519000000003,0.874478760187366,0.50083577,0.13693534000000002,0.36222888,4,0.36222888,0.13693534000000002,0.50083577,bullish
2025-01-02,-0.039797869500000006,-0.05035042000000001,0.3922008005879402,-0.692194376,0.377212734,0.2810913925,0.7966196658241701,0.5495179483333333,0.24513997516666666,0.20534210566666666,6,0.20534210566666666,0.24513997516666666,0.5495179483333333,bearish
2025-01-03,0.060825210388888884,0.057841199999999995,0.32451777458269015,-0.737177905,0.48143627999999994,0.2500498302777778,0.8170412181071829,0.538197895,0.20048844494444445,0.26131365533333334,18,0.26131365533333334,0.20048844494444445,0.538197895,bullish
2025-01-04,0.1589593218,0.11375365999999996,0.24215121957633173,-0.12855185,0.57460523,0.2080568298,0.8977908337136622,0.49239755399999996,0.1743215742,0.333280896,10,0.333280896,0.1743215742,0.49239755399999996,bullish
2025-01-05,0.09893685422222222,0.01958470000000001,0.20715002386498896,-0.2172087,0.357951837,0.161184052,0.7873222403799528,0.6365486322222221,0.13225726644444447,0.23119412066666667,9,0.23119412066666667,0.13225726644444447,0.6365486322222221,bullish
2025-01-06,0.09562261922222222,-0.0006840100000000127,0.2685907784427802,-0.34401606,0.47880462300000004,0.19224627922222223,0.8680354953441379,0.5573746844444445,0.17350134188888888,0.26912396111111114,9,0.26912396111111114,0.17350134188888888,0.5573746844444445,bullish
2025-01-07,0.35933729033333334,0.383400588,0.1641851988750962,0.044102859999999994,0.49532748599999993,0.35933729033333334,0.8031860130625125,0.5322210983333333,0.05422080966666667,0.4135581,6,0.4135581,0.05422080966666667,0.5322210983333333,bullish
2025-01-08,0.22266047383333332,0.28694747,0.3352138061722212,-0.4258847,0.542140255,0.3646220405,0.9057450356503624,0.4367350466666666,0.17030223616666665,0.39296271,6,0.39296271,0.17030223616666665,0.4367350466666666,bullish
2025-01-09,-0.018169736600000007,-0.12066547999999999,0.45963462717106446,-0.517258285,0.530458286,0.3841599814,0.9087550404783515,0.36678364599999996,0.3256930556,0.307523319,5,0.307523319,0.3256930556,0.36678364599999996,bearish
2025-01-10,-0.10151054749999999,0.017938190000000007,0.33531431380845594,-0.59139264,0.14947407000000001,0.21212699750000003,0.8895699959111033,0.42695849750000003,0.337276025,0.2357654775,4,0.2357654775,0.337276025,0.42695849750000003,bearish
2025-01-11,0.21885404333333333,0.28402433,0.14590047525532512,0.05172681,0.32081099,0.21885404333333333,0.9128422996038689,0.5255630233333334,0.12779147333333332,0.34664551666666665,3,0.34664551666666665,0.12779147333333332,0.5255630233333334,bullish
2025-01-12,0.208309534,0.370269537,0.33085177877605526,-0.172319625,0.42697869,0.32318928399999997,0.8735971974464505,0.5225638533333333,0.13456329433333333,0.3428728283333333,3,0.3428728283333333,0.13456329433333333,0.5225638533333333,bullish
2025-01-13,0.3263136958,0.400605276,0.17337748550064186,0.03408799,0.47513823499999996,0.3263136958,0.7784609269059788,0.5735543200000001,0.050065972199999996,0.376379668,5,0.376379668,0.050065972199999996,0.5735543200000001,bullish
2025-01-14,0.3373438411111111,0.33921711,0.14297116497132492,0.045349874,0.5116175749999999,0.3373438411111111,0.8718714961471554,0.5036867788888889,0.07948469444444445,0.41682853555555555,9,0.41682853555555555,0.07948469444444445,0.5036867788888889,bullish
2025-01-15,0.2471601577142857,0.33822541,0.38373110719502157,-0.59099337,0.566821096,0.41601540628571426,0.897193587264478,0.39376259,0.1795386222857143,0.42669878,7,0.42669878,0.1795386222857143,0.39376259,bullish
2025-01-16,0.262220635,0.2255612595,0.16382760211147418,-0.011913000000000007,0.5927004530000001,0.264206135,0.9182852315603723,0.4965187208333333,0.12063032666666666,0.38285096166666666,12,0.38285096166666666,0.12063032666666666,0.4965187208333333,bullish
2025-01-17,0.3313699996,0.37337710300000004,0.19599570520644222,-0.06850401,0.549302683,0.34507080160000003,0.9300500017685998,0.42430946199999997,0.12216026040000001,0.45353025999999996,10,0.45353025999999996,0.12216026040000001,0.42430946199999997,bullish
2025-01-18,0.10922119576923077,0.09196589999999999,0.2450074998556998,-0.4305374,0.506432008,0.20510927346153848,0.8342243186961718,0.5717642446153847,0.1595072853846154,0.2687284811538462,13,0.2687284811538462,0.1595072853846154,0.5717642446153847,bullish
2025-01-19,0.1311158369090909,0.16458347,0.18019047641493113,-0.12594856000000001,0.42553505,0.1869174950909091,0.926408944570039,0.5299547081818182,0.16946472127272727,0.30058055818181817,11,0.30058055818181817,0.16946472127272727,0.5299547081818182,bullish
