date,mean_delta_ndcg
2025-03-16,0.0006444967106293461
2025-03-17,0.0016986005088967342
2025-03-18,-0.00131282498309368
2025-03-19,0.04078751873999079
2025-03-20,-0.04654648945466602
2025-03-21,0.0
2025-03-22,-0.00040211475499907223
2025-03-23,-0.003001906992619966
2025-03-24,0.004188330490204173
2025-03-25,0.04723134482521837
2025-03-26,0.07334808089640743
2025-03-27,0.126510666452729
2025-03-28,-0.02236127570499587
2025-03-29,-0.05745095756543487
2025-03-30,0.09890228639619254
2025-03-31,0.06874422892747589
2025-04-01,0.02521839790936638
2025-04-02,-0.03257454102519808
2025-04-03,-0.001202759593412465
2025-04-04,-0.033131953265186996
2025-04-05,-0.0021945602462142277
2025-04-06,-0.0004665571896944794
2025-04-07,0.14715691904507558
2025-04-08,0.04730586494526654
2025-04-09,-0.0024358089251060866
2025-04-10,-0.01592960250022618
2025-04-11,-0.032064305852181264
2025-04-12,0.004448658419205609
2025-04-13,0.01511239947375087
2025-04-14,-0.007317484339437723
2025-04-15,0.03199179971899454
2025-04-16,-0.002600038265225535
2025-04-17,0.03163967346094811
2025-04-18,0.017589080405333135
2025-04-19,-0.0012889934212586367
2025-04-20,0.030634338932159333
2025-04-21,0.0015487750211406655
2025-04-22,-0.015639278663774625
2025-04-23,-0.017863535811732684
2025-04-24,-0.0010347349167483995
2025-04-25,-0.0024876359749517185
2025-04-26,0.006433143855850513
2025-04-27,-0.00027621287598396843
2025-04-28,-0.049749276369046726
2025-04-29,-0.005990126395239918
2025-04-30,-0.031437713953150814
2025-05-01,-0.024481505301203115
2025-05-02,0.00047163087160832323
2025-05-03,0.034364336048374765
2025-05-04,0.03386837647590487
2025-05-05,0.00807243168253057
2025-05-06,0.003731909083402133
2025-05-07,0.006385475402627239
2025-05-08,0.006415349902963681
2025-05-09,-0.03979829598336707
2025-05-10,0.0019814388426761345
2025-05-11,0.0013329021642060068
2025-05-12,-0.007547655256230468
2025-05-13,0.0
2025-05-14,0.0022243292096028413
2025-05-15,0.00046746678359543825
2025-05-16,-0.11690529941812493
