model_a,model_b,macro_f1_a,macro_f1_b,difference,ci95_lower,ci95_upper,a_correct_b_wrong,a_wrong_b_correct,discordant,mcnemar_exact_p,bootstrap_significant_95,mcnemar_significant_005
TF-IDF + LinearSVC,DistilBERT,0.4444214008970144,0.4753913184521579,-0.0309699175551435,-0.0602483066742854,-0.0030155197974421,158,196,354,0.0490842497413721,True,True
TF-IDF + LinearSVC,FinBERT,0.4444214008970144,0.4429454085037756,0.0014759923932388,-0.0281253238303295,0.0304933692833037,181,172,353,0.6703160204179758,False,False
DistilBERT,FinBERT,0.4753913184521579,0.4429454085037756,0.0324459099483823,0.0117847977200116,0.0525910946938536,114,67,181,0.0005895324213043,True,True
