profile,treatment,ndcg_at_10,recall_at_10,map_at_10,n_dates,top10_jaccard,top10_turnover
aggressive,T0,0.5852682298136463,0.667741935483871,0.3830504352278546,62,0.7854713592418512,0.2145286407581488
aggressive,T1,0.5942135396973088,0.6709677419354839,0.3942242703533026,62,0.7636134357445834,0.2363865642554166
conservative,T0,0.6256463504522457,0.7516129032258064,0.4650012800819252,62,0.8350720317933433,0.1649279682066566
conservative,T1,0.6275819024334794,0.7548387096774194,0.4729864311315924,62,0.8250219725629562,0.1749780274370438
moderate,T0,0.5870458603303648,0.6903225806451613,0.4196402969790066,62,0.8215445756429365,0.1784554243570635
moderate,T1,0.5928564568495244,0.7,0.4221031746031746,62,0.7988459627803892,0.2011540372196107
