profile,n_dates,mean_delta_ndcg,ci95_lower,ci95_upper,wilcoxon_statistic,wilcoxon_p,days_T1_better,days_equal,days_T1_worse,pct_days_T1_better
aggressive,62,0.0089453098836625,-0.0040805461723329,0.0228438083483119,383.0,0.2829387956323899,24,19,19,38.70967741935484
conservative,62,0.0019355519812337,-0.0093008427098841,0.0137139428458922,583.0,0.9635296873171342,24,14,24,38.70967741935484
moderate,62,0.0058105965191595,-0.0072836107773826,0.018888950498675,542.0,0.4895960401660026,25,13,24,40.32258064516129
